6.9703 	EXP 	grating: autoDraw = True
6.9871 	EXP 	fixation: autoDraw = False
7.2703 	EXP 	grating: autoDraw = False
7.6884 	DATA 	Keypress: right
7.7029 	EXP 	fixation: autoDraw = False
7.7029 	EXP 	grating: autoDraw = False
7.7029 	EXP 	grating: ori = 1.0
7.7029 	EXP 	fixation: autoDraw = True
8.1868 	INFO 	Keyboard events cleared
8.1865 	EXP 	grating: autoDraw = True
8.2029 	EXP 	fixation: autoDraw = False
8.4861 	EXP 	grating: autoDraw = False
9.2039 	DATA 	Keypress: left
9.2184 	EXP 	fixation: autoDraw = False
9.2184 	EXP 	grating: autoDraw = False
9.2184 	EXP 	grating: ori = -2.0
9.2184 	EXP 	fixation: autoDraw = True
9.7186 	INFO 	Keyboard events cleared
9.7181 	EXP 	fixation: autoDraw = False
9.7181 	EXP 	grating: autoDraw = True
10.0180 	EXP 	grating: autoDraw = False
10.9026 	DATA 	Keypress: left
10.9174 	EXP 	fixation: autoDraw = False
10.9174 	EXP 	grating: autoDraw = False
10.9174 	EXP 	grating: ori = 2.0
10.9174 	EXP 	fixation: autoDraw = True
11.4173 	INFO 	Keyboard events cleared
11.4167 	EXP 	fixation: autoDraw = False
11.4167 	EXP 	grating: autoDraw = True
11.7163 	EXP 	grating: autoDraw = False
12.0848 	DATA 	Keypress: right
12.0996 	EXP 	fixation: autoDraw = False
12.0996 	EXP 	grating: autoDraw = False
12.0996 	EXP 	grating: ori = -2.0
12.0996 	EXP 	fixation: autoDraw = True
12.5996 	INFO 	Keyboard events cleared
12.5991 	EXP 	fixation: autoDraw = False
12.5991 	EXP 	grating: autoDraw = True
12.8986 	EXP 	grating: autoDraw = False
12.9536 	DATA 	Keypress: right
12.9661 	EXP 	fixation: autoDraw = False
12.9661 	EXP 	grating: autoDraw = False
12.9661 	EXP 	grating: ori = 3.0
12.9661 	EXP 	fixation: autoDraw = True
13.4666 	INFO 	Keyboard events cleared
13.4660 	EXP 	grating: autoDraw = True
13.4819 	EXP 	fixation: autoDraw = False
13.7812 	EXP 	grating: autoDraw = False
13.8838 	DATA 	Keypress: right
13.8978 	EXP 	fixation: autoDraw = False
13.8978 	EXP 	grating: autoDraw = False
13.8978 	EXP 	grating: ori = 3.0
13.8978 	EXP 	fixation: autoDraw = True
14.3979 	INFO 	Keyboard events cleared
14.3973 	EXP 	fixation: autoDraw = False
14.3973 	EXP 	grating: autoDraw = True
14.6974 	EXP 	grating: autoDraw = False
15.1162 	DATA 	Keypress: right
15.1308 	EXP 	fixation: autoDraw = False
15.1308 	EXP 	grating: autoDraw = False
15.1308 	EXP 	grating: ori = -3.0
15.1308 	EXP 	fixation: autoDraw = True
15.6305 	INFO 	Keyboard events cleared
15.6297 	EXP 	fixation: autoDraw = False
15.6297 	EXP 	grating: autoDraw = True
15.9299 	EXP 	grating: autoDraw = False
15.9998 	DATA 	Keypress: left
16.0133 	EXP 	fixation: autoDraw = False
16.0133 	EXP 	grating: autoDraw = False
16.0133 	EXP 	grating: ori = -2.0
16.0133 	EXP 	fixation: autoDraw = True
16.5131 	INFO 	Keyboard events cleared
16.5125 	EXP 	fixation: autoDraw = False
16.5125 	EXP 	grating: autoDraw = True
16.8123 	EXP 	grating: autoDraw = False
16.8143 	DATA 	Keypress: left
16.8291 	EXP 	fixation: autoDraw = False
16.8291 	EXP 	grating: autoDraw = False
16.8291 	EXP 	grating: ori = 2.0
16.8291 	EXP 	fixation: autoDraw = True
17.3284 	INFO 	Keyboard events cleared
17.3279 	EXP 	grating: autoDraw = True
17.3449 	EXP 	fixation: autoDraw = False
17.6282 	EXP 	grating: autoDraw = False
17.6810 	DATA 	Keypress: left
17.6955 	EXP 	fixation: autoDraw = False
17.6955 	EXP 	grating: autoDraw = False
17.6955 	EXP 	grating: ori = 2.5
17.6955 	EXP 	fixation: autoDraw = True
18.1948 	INFO 	Keyboard events cleared
18.1942 	EXP 	fixation: autoDraw = False
18.1942 	EXP 	grating: autoDraw = True
18.4949 	EXP 	grating: autoDraw = False
18.6293 	DATA 	Keypress: left
18.6439 	EXP 	fixation: autoDraw = False
18.6439 	EXP 	grating: autoDraw = False
18.6439 	EXP 	grating: ori = 3.0
18.6439 	EXP 	fixation: autoDraw = True
19.1439 	INFO 	Keyboard events cleared
19.1434 	EXP 	fixation: autoDraw = False
19.1434 	EXP 	grating: autoDraw = True
19.4433 	EXP 	grating: autoDraw = False
19.5454 	DATA 	Keypress: left
19.5769 	EXP 	fixation: autoDraw = False
19.5769 	EXP 	grating: autoDraw = False
19.5769 	EXP 	grating: ori = -3.5
19.5769 	EXP 	fixation: autoDraw = True
20.0605 	INFO 	Keyboard events cleared
20.0602 	EXP 	grating: autoDraw = True
20.0771 	EXP 	fixation: autoDraw = False
20.3593 	EXP 	grating: autoDraw = False
20.4781 	DATA 	Keypress: right
20.4925 	EXP 	fixation: autoDraw = False
20.4925 	EXP 	grating: autoDraw = False
20.4925 	EXP 	grating: ori = 4.0
20.4925 	EXP 	fixation: autoDraw = True
20.9932 	INFO 	Keyboard events cleared
20.9927 	EXP 	fixation: autoDraw = False
20.9927 	EXP 	grating: autoDraw = True
21.3081 	EXP 	grating: autoDraw = False
21.7112 	DATA 	Keypress: left
21.7250 	EXP 	fixation: autoDraw = False
21.7250 	EXP 	grating: autoDraw = False
21.7250 	EXP 	grating: ori = -4.5
21.7250 	EXP 	fixation: autoDraw = True
22.2251 	INFO 	Keyboard events cleared
22.2244 	EXP 	fixation: autoDraw = False
22.2244 	EXP 	grating: autoDraw = True
22.5242 	EXP 	grating: autoDraw = False
23.0922 	DATA 	Keypress: left
23.1070 	EXP 	fixation: autoDraw = False
23.1070 	EXP 	grating: autoDraw = False
23.1070 	EXP 	grating: ori = -4.5
23.1070 	EXP 	fixation: autoDraw = True
23.5905 	INFO 	Keyboard events cleared
23.5899 	EXP 	grating: autoDraw = True
23.6075 	EXP 	fixation: autoDraw = False
23.8895 	EXP 	grating: autoDraw = False
24.0588 	DATA 	Keypress: left
24.0725 	EXP 	fixation: autoDraw = False
24.0725 	EXP 	grating: autoDraw = False
24.0725 	EXP 	grating: ori = 4.5
24.0725 	EXP 	fixation: autoDraw = True
24.5737 	INFO 	Keyboard events cleared
24.5732 	EXP 	fixation: autoDraw = False
24.5732 	EXP 	grating: autoDraw = True
24.8721 	EXP 	grating: autoDraw = False
25.0905 	DATA 	Keypress: right
25.1221 	EXP 	fixation: autoDraw = False
25.1221 	EXP 	grating: autoDraw = False
25.1221 	EXP 	grating: ori = -4.0
25.1221 	EXP 	fixation: autoDraw = True
25.6222 	INFO 	Keyboard events cleared
25.6217 	EXP 	fixation: autoDraw = False
25.6217 	EXP 	grating: autoDraw = True
25.9215 	EXP 	grating: autoDraw = False
